"Date","Food Calories"
"03/02/2021","528.0"
"03/01/2021","1888.0"
"02/28/2021","2234.0"
"02/27/2021","2072.0"
"02/26/2021","1860.0"
"02/25/2021","1980.0"
"02/24/2021","1933.0"
"02/23/2021","2136.0"
"02/22/2021","1997.0"
"02/21/2021","2739.0"
"02/20/2021","2776.0"
"02/19/2021","1908.0"
"02/18/2021","2072.0"
"02/17/2021","1581.0"
"02/16/2021","1792.0"
"02/15/2021","1999.0"
"02/14/2021","1726.0"
"02/13/2021","3165.0"
"02/12/2021","1925.0"
"02/11/2021","1959.0"
"02/10/2021","1977.0"
"02/09/2021","1999.0"
"02/08/2021","2029.0"
"02/07/2021","2450.0"
"02/06/2021","2822.0"
"02/05/2021","2017.0"
"02/04/2021","3028.0"
"02/03/2021","2030.0"
"02/02/2021","1551.0"
"02/01/2021","2522.0"
"01/31/2021","2120.0"
"01/30/2021","2971.0"
"01/29/2021","2100.0"
"01/28/2021","2262.0"
"01/27/2021","2152.0"
"01/26/2021","2212.0"
"01/25/2021","2074.0"
"01/24/2021","4560.0"
"01/23/2021","2731.0"
"01/22/2021","1423.0"
"01/21/2021","2088.0"
"01/20/2021","1422.0"
"01/19/2021","2056.0"
"01/18/2021","2237.0"
"01/17/2021","2947.0"
"01/16/2021","1905.0"
"01/15/2021","1743.0"
"01/14/2021","2211.0"
"01/13/2021","1718.0"
"01/12/2021","2004.0"
"01/11/2021","2479.0"
"01/10/2021","2681.0"
"01/09/2021","2629.0"
"01/08/2021","1954.0"
"01/07/2021","1790.0"
"01/06/2021","2145.0"
"01/05/2021","2024.0"
"01/04/2021","1846.0"
"01/03/2021","2238.0"
"01/02/2021","2322.0"
"01/01/2021","1907.0"
"12/31/2020","2134.0"
"12/30/2020","2023.0"
"12/29/2020","2273.0"
"12/28/2020","1961.0"
"12/27/2020","2831.0"
"12/26/2020","3360.0"
"12/25/2020","2496.0"
"12/24/2020","1636.0"
"12/23/2020","2340.0"
"12/22/2020","2014.0"
"12/21/2020","1618.0"
"12/20/2020","1940.0"
"12/19/2020","1935.0"
"12/18/2020","2356.0"
"12/17/2020","2081.0"
"12/16/2020","2126.0"
"12/15/2020","3060.0"
"12/14/2020","2678.0"
"12/13/2020","0.0"
"12/12/2020","0.0"
"12/11/2020","0.0"
"12/10/2020","0.0"
"12/09/2020","0.0"
"12/08/2020","0.0"
"12/07/2020","0.0"
"12/06/2020","0.0"
"12/05/2020","0.0"
"12/04/2020","0.0"
"12/03/2020","0.0"
"12/02/2020","0.0"
"12/01/2020","0.0"
"11/30/2020","0.0"
"11/29/2020","0.0"
